id	color	no	cname	ename	jname	kana	kname	s_cname	s_ename	area	p_id	p_dis	n_id	n_dis												
trtc-Y19		Y19	幸福	Xingfu	幸福	こうふく	씽푸			新北市新莊區	trtc-Y18	0.62	trtc-Y20	1.56												
trtc-Y20		Y20	新北產業園區	New Taipei Industrial Park	新北産業園区	しんほくさんぎょうえんく	뉴 타이베이 산업 단지			新北市新莊區	trtc-Y19	1.56														
sys			桃園捷運	Taoyuan Metro	桃園MRT																					
route	7A68AE		機場捷運	Airport Line	空港線																					
ty-A01		A01	台北車站	Taipei Main Station	台北駅	たいぺいえき	타이베이 역			台北市中正區			ty-A02	4.30												
ty-A02		A02	三重	Sanchong	三重	さんちょう	싼충			新北市三重區	ty-A01	4.30	ty-A03													
ty-A03		A03	新北產業園區	New Taipei Industrial Park	新北産業園区	しんほくさんぎょうえんく	뉴 타이베이 산업 단지			新北市新莊區	ty-A02		ty-A04	1.36												
ty-A04		A04	新莊副都心	Xinzhuang Fuduxin	新荘副都心	しんそうふくとしん	신좡 부도심			新北市新莊區	ty-A03	1.36	ty-A05	0.95												
ty-A05		A05	泰山	Taishan	泰山	たいざん	타이산			新北市泰山區	ty-A04	0.95	ty-A06	2.78												
ty-A06		A06	泰山貴和	Taishan Guihe	泰山貴和	たいざんきわ	타이산 구이허	明志科大	Ming Chi University of Technology	新北市泰山區	ty-A05	2.78	ty-A07	4.53												
ty-A07		A07	體育大學	National Taiwan Sport University	体育大学	たいいくだいがく	국립 체육대학교	龜山樂善	Guishan Leshan	桃園市龜山區	ty-A06	4.53	ty-A08	2.74												
ty-A08		A08	長庚醫院	Chang Gung Memorial Hospital	長庚病院	ちょうこうびょういん	창컹병원			桃園市龜山區	ty-A07	2.74	ty-A09	1.29												
ty-A09		A09	林口	Linkou	林口	りんこう	린커우			新北市林口區	ty-A08	1.29	ty-A10	8.27												
ty-A10		A10	山鼻	Shanbi	山鼻	さんび	샨비			桃園市蘆竹區	ty-A09	8.27	ty-A11	1.87												
ty-A11		A11	坑口	Kengkou	坑口	こうこう	컹커우			桃園市大園區	ty-A10	1.87	ty-A12	3.33												
ty-A12		A12	機場第一航廈	Airport Terminal 1	空港第1ターミナル	くうこうだいいちたーみなる	공항 터미널 1			桃園市大園區	ty-A11	3.33	ty-A13	1.00												
ty-A13		A13	機場第二航廈	Airport Terminal 2	空港第2ターミナル	くうこうだいにたーみなる	공항 터미널 2			桃園市大園區	ty-A12	1.00	ty-A14	0.65												
ty-A14		A14	機場第三航廈	Airport Terminal 3	空港第3ターミナル	くうこうだいさんたーみなる	공항 터미널 3			桃園市大園區	ty-A13		ty-A14a													
ty-A14a		A14a	機場旅館	Airport Hotel	空港ホテル	くうこうほてる	공항호텔			桃園市大園區	ty-A14		ty-A15													
ty-A15		A15	大園	Dayuan	大園	だいえん	다위안			桃園市大園區	ty-A14a		ty-A16	2.09												
ty-A16		A16	橫山	Hengshan	横山	こうざん	항산			桃園市大園區	ty-A15	2.09	ty-A17	1.53												
ty-A17		A17	領航	Linghang	領航	りょうこう	링항	大園國際高中	Dayuan International Senior High School	桃園市大園區	ty-A16	1.53	ty-A18	1.66												
ty-A18		A18	高鐵桃園站	Taoyuan HSR Station	高鉄桃園駅	こうてつとうえんえき	타오위안 고속철도 역			桃園市中壢區	ty-A17	1.66	ty-A19	1.73												
ty-A19		A19	桃園體育園區	Taoyuan Sports Park	桃園体育園区	とうえんたいいくえんく	타오위안 체육 공원			桃園市中壢區	ty-A18	1.73	ty-A20	2.95												
ty-A20		A20	興南	Xingnan	興南	きょうなん	싱난			桃園市中壢區	ty-A19	2.95	ty-A21	1.59												
ty-A21		A21	環北	Huanbei	環北	かんほく	환베이			桃園市中壢區	ty-A20	1.59	ty-A22													
ty-A22		A22	老街溪	Laojie River	老街渓	ろうがいけい	라오지에시			桃園市中壢區	ty-A21		ty-A23													
ty-A23		A23	中壢	Zhongli	中壢	ちゅうれき	중리			桃園市中壢區	ty-A22															
																										
																										
sys			高雄捷運	Kaohsiung Metro	高雄MRT																					
route	DD711F		橘線	Orange Line	オレンジライン																					
krt-O1		O1	哈瑪星	Hamasen	哈瑪星	はません	하마센			高雄市鼓山區			krt-O2													
krt-O2		O2	鹽埕埔	Yanchengpu	塩埕埔	えんていほ	이엔전푸			高雄市塩埕區	krt-O1		krt-O3													
krt-O3		O4	前金	Cianjin	前金	ぜんきん	첸진			高雄市前金區	krt-O2		krt-O4													
krt-O4		O5	美麗島	Formosa Boulevard	美麗島	びれいとう	메리다오			高雄市新興區	krt-O3		krt-O5													
krt-O5		O6	信義國小	Sinyi Elementary School	信義小学校	しんぎしょうがっこう	신이 초등학교			高雄市新興區	krt-O4		krt-O6													
krt-O6		O7	文化中心	Cultural Center	文化センター	ぶんかせんたー	문화센터			高雄市新興區	krt-O5		krt-O7													
krt-O7		O8	五塊厝	Wukuaicuo	五塊厝	ごかいせき	우과이춰			高雄市苓雅區	krt-O6		krt-O8													
krt-O8		O9	苓雅運動園區	Lingya Sports Park	苓雅運動園区	れいがうんどうえんく	링야스포츠 파크			高雄市苓雅區	krt-O7		krt-O9													
krt-O9		O10	衛武營	Weiwuying	衛武営	えいぶえい	웨우잉			高雄市鳳山區	krt-O8		krt-O10													
krt-O10		O11	鳳山西站	Fongshan West	鳳山西駅	ほうざんにしえき	펑샨시역			高雄市鳳山區	krt-O9		krt-O11													
krt-O11		O12	鳳山	Fongshan	鳳山	ほうざんにし	펑샨			高雄市鳳山區	krt-O10		krt-O12													
krt-O12		O13	大東	Dadong	大東	だいとう	다동			高雄市鳳山區	krt-O11		krt-O13													
krt-O13		O14	鳳山國中	Fongshan Junior High School	鳳山中学校	ほうざんちゅうがっこう	펑샨 중학교			高雄市鳳山區	krt-O12		krt-OT1													
krt-OT1		OT1	大寮	Daliao	大寮	だいりょう	다랴오			高雄市大寮區	krt-O13															
route	DC0905		紅線	Red Line	レッドライン																					
krt-R3		R3	小港	Siaogang	小港	こみなと	샤오강			高雄市小港區			krt-R4													
krt-R4		R4	高雄國際機場	Kaohsiung International Airport	高雄国際空港	たかおこくさいくうこう	가오슝국제공항			高雄市小港區	krt-R3		krt-R4A													
